4th Quarter 2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TENNESSEE #8,U.S.,$ 0.2600 ,$ 0.2700 ,$ 0.2600 ,$ 0.2200 ,$ 0.2100 ,$ 0.2100 ,$ 0.2600 ,$ 0.2600 ,$ 0.2600 ,$ 0.2600 ,$ 0.2600 ,$ 0.2700 ,$-,$ 0.2100 ,$-
,Can,$ 0.0948 ,$ 0.0984 ,$ 0.0948 ,$ 0.0802 ,$ 0.0766 ,$ 0.0766 ,$ 0.0948 ,$ 0.0948 ,$ 0.0948 ,$ 0.0948 ,$ 0.0948 ,$ 0.0984 ,$-,$ 0.0766 ,$-
,,,,,,,,,,,,,,,,
TEXAS #12,U.S.,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$-,$ 0.1500 ,$ 0.1500 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$-,$-,$-
,Can,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$-,$ 0.0546 ,$ 0.0546 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$-,$-,$-
,,,,,,,,,,,,,,,,
UTAH #20,U.S.,$ 0.3850 ,$ 0.3850 ,$ 0.3850 ,$-,$ 0.2070 ,$ 0.2070 ,$ 0.3850 ,$ 0.3850 ,$ 0.3850 ,$ 0.3850 ,$ 0.3850 ,$ 0.3850 ,$-,$ 0.2070 ,$-
,Can,$ 0.1403 ,$ 0.1403 ,$ 0.1403 ,$-,$ 0.0755 ,$ 0.0755 ,$ 0.1403 ,$ 0.1403 ,$ 0.1403 ,$ 0.1403 ,$ 0.1403 ,$ 0.1403 ,$-,$ 0.0755 ,$-
,,,,,,,,,,,,,,,,
VERMONT ,U.S.,$-,$ 0.3100 ,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,Can,$-,$ 0.1130 ,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,,,,,,,,,,,,,,,,
VIRGINIA #19,U.S.,$ 0.3170 ,$ 0.3270 ,$ 0.3170 ,$ 0.3170 ,$ 0.3570 ,$ 0.3170 ,$ 0.3170 ,$ 0.3170 ,$ 0.3170 ,$ 0.3170 ,$ 0.3170 ,$ 0.3270 ,$-,$-,$-
,Can,$ 0.1156 ,$ 0.1192 ,$ 0.1156 ,$ 0.1156 ,$ 0.1301 ,$ 0.1156 ,$ 0.1156 ,$ 0.1156 ,$ 0.1156 ,$ 0.1156 ,$ 0.1156 ,$ 0.1192 ,$-,$-,$-
,,,,,,,,,,,,,,,,
VIRGINIA SurChg #19,U.S.,$ 0.1530 ,$ 0.1430 ,$ 0.1530 ,$ 0.1530 ,$ 0.1720 ,$ 0.1530 ,$ 0.1530 ,$ 0.1530 ,$ 0.1530 ,$ 0.1530 ,$ 0.1530 ,$ 0.1430 ,$-,$-,$-
,Can,$ 0.0557 ,$ 0.0522 ,$ 0.0557 ,$ 0.0557 ,$ 0.0626 ,$ 0.0557 ,$ 0.0557 ,$ 0.0557 ,$ 0.0557 ,$ 0.0557 ,$ 0.0557 ,$ 0.0522 ,$-,$-,$-
,,,,,,,,,,,,,,,,
WASHINGTON #10,U.S.,$ 0.5540 ,$ 0.5840 ,$ 0.5540 ,$-,$-,$-,$ 0.5540 ,$ 0.5540 ,$ 0.5540 ,$ 0.5540 ,$ 0.5540 ,$ 0.5840 ,$-,$-,$-
,Can,$ 0.2020 ,$ 0.2129 ,$ 0.2020 ,$-,$-,$-,$ 0.2020 ,$ 0.2020 ,$ 0.2020 ,$ 0.2020 ,$ 0.2020 ,$ 0.2129 ,$-,$-,$-
,,,,,,,,,,,,,,,,
WEST VIRGINIA ,U.S.,$ 0.3570 ,$ 0.3570 ,$ 0.3570 ,$ 0.1950 ,$ 0.1560 ,$ 0.2430 ,$ 0.3570 ,$-,$ 0.3570 ,$ 0.3570 ,$ 0.3570 ,$ 0.3570 ,$-,$ 0.2430 ,$-
,Can,$ 0.1301 ,$ 0.1301 ,$ 0.1301 ,$ 0.0711 ,$ 0.0568 ,$ 0.0886 ,$ 0.1301 ,$-,$ 0.1301 ,$ 0.1301 ,$ 0.1301 ,$ 0.1301 ,$-,$ 0.0886 ,$-
,,,,,,,,,,,,,,,,
WISCONSIN ,U.S.,$ 0.3290 ,$ 0.3290 ,$ 0.3290 ,$ 0.2260 ,$ 0.1970 ,$ 0.2470 ,$ 0.3290 ,$ 0.3290 ,$ 0.3290 ,$ 0.3290 ,$ 0.3290 ,$ 0.3290 ,$-,$-,$-
,Can,$ 0.1199 ,$ 0.1199 ,$ 0.1199 ,$ 0.0824 ,$ 0.0717 ,$ 0.0901 ,$ 0.1199 ,$ 0.1199 ,$ 0.1199 ,$ 0.1199 ,$ 0.1199 ,$ 0.1199 ,$-,$-,$-
,,,,,,,,,,,,,,,,
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen,Hythane
,,,Diesel,,,,,,,,,,,,,
WYOMING #32,U.S.,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.0072 ,$ 0.2400 ,$-
,Can,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0099 ,$ 0.0875 ,$-
,,,,,,,,,,,,,,,,
